Url,Pays,Etat,Province,Ville,Nom,Adresse,Postal,Téléphone,Email,Site,GPS
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-neustift-im-stubaital-i105513/,Autriche,Tyrol,Tyrol (Province),Neustift,gemeindeamt neustift im stubaital,"dorf 1, 6167 neustift im stubaital, austria",6167,05226 22100,Information non disponible,http://www.neustift.tirol.gv.at/,"47.11082, 11.30738"
https://fre.cityhallworldwide.com/mairie-en-autriche/stadt-feldkirch-i127608/,Autriche,Vorarlberg,Politischer bezirk feldkirch,Feldkirch,stadt feldkirch,"schmiedgasse 1-3, 6800 feldkirch, austria",6800,05522 3040,Information non disponible,http://www.feldkirch.at/,"47.2376, 9.597965"
https://fre.cityhallworldwide.com/mairie-en-autriche/brand-i105744/,Autriche,Vorarlberg,Politischer bezirk bludenz,Brand,brand,"brand 230, 6708 brand bei bludenz, austria",6708,05559 308,Information non disponible,Information non disponible,"47.10642, 9.719443"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-gofis-i105450/,Autriche,Vorarlberg,Politischer bezirk feldkirch,Göfis,gemeindeamt göfis,"kirchstraße 2, 6811, austria",6811,Information non disponible,Information non disponible,Information non disponible,"47.23572, 9.631371"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-weiler-i105243/,Autriche,Vorarlberg,Politischer bezirk feldkirch,Weiler,gemeindeamt weiler,"walgaustraße 1, 6833 weiler, austria",6833,Information non disponible,Information non disponible,Information non disponible,"47.30344, 9.653269"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-brand-i105707/,Autriche,Vorarlberg,Politischer bezirk bludenz,Brand,gemeindeamt brand,"muhledorfle 40, 6708 brand bei bludenz, austria",6708,Information non disponible,Information non disponible,Information non disponible,"47.10983, 9.743307"
https://fre.cityhallworldwide.com/mairie-en-autriche/klosterle-am-arlberg-i105421/,Autriche,Vorarlberg,Politischer bezirk bludenz,Klösterle,klösterle am arlberg,"klösterle 59b, 6754 klösterle, austria",6754,05582 204,Information non disponible,http://www.klostertal.org/gemeinden/kloesterle-am-arlberg/,"47.1313, 10.09167"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-dalaas-i105352/,Autriche,Vorarlberg,Politischer bezirk bludenz,Klösterle,gemeindeamt dalaas,"bahnhofweg 9, 6752 wald am arlberg, austria",6752,Information non disponible,Information non disponible,Information non disponible,"47.13333, 10.04985"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeindeamt-bezau-i105436/,Autriche,Vorarlberg,Politischer bezirk bregenz,Bezau,marktgemeindeamt bezau,"platz 375, 6870 bezau, austria",6870,Information non disponible,Information non disponible,Information non disponible,"47.38517, 9.901156"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-blons-i105338/,Autriche,Vorarlberg,Politischer bezirk bludenz,Blons,gemeindeamt blons,"blons 95, 6723 blons, austria",6723,05553 8112100,Information non disponible,Information non disponible,"47.22255, 9.833283"
https://fre.cityhallworldwide.com/mairie-en-autriche/sankt-egyden-am-steinfeld-urschendorf-i105515/,Autriche,Basse-Autriche,Politischer bezirk neunkirchen,Willendorf am steinfelde,sankt egyden am steinfeld-urschendorf,"puchberger str. 51, 2731 urschendorf, austria",2731,Information non disponible,Information non disponible,Information non disponible,"47.78371, 16.0935"
https://fre.cityhallworldwide.com/mairie-en-autriche/sollenau-i127583/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Sollenau,sollenau,"hauptpl. 1, 2601 sollenau, austria",2601,02628 47285,Information non disponible,http://www.sollenau.noe.gv.at/,"47.89725, 16.25061"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-sollenau-i105346/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Sollenau,gemeindeamt sollenau,"hauptpl. 1, 2601 sollenau, austria",2601,Information non disponible,Information non disponible,Information non disponible,"47.89717, 16.25073"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-pitten-i105475/,Autriche,Basse-Autriche,Politischer bezirk neunkirchen,Pitten,gemeindeamt pitten,"hauptpl. 1, 2823, austria",2823,02627 82212,Information non disponible,http://www.pitten.gv.at/buergerservice_gemeindeamt/kontakt_und_amtszeiten,"47.7161, 16.18649"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindereamt-der-marktgemeinde-wollersdorf-sanktinabruckl-i105204/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Markt piesting,gemeindereamt der marktgemeinde wöllersdorf-sanktinabrückl,"marktzentrum 1, 2752 wöllersdorf, austria",2752,Information non disponible,Information non disponible,Information non disponible,"47.86544, 16.16951"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeindereamt-bad-erlach-i105251/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Erlach,marktgemeindereamt bad erlach,"fabriksgasse 1, 2822 bad erlach, austria",2822,Information non disponible,Information non disponible,Information non disponible,"47.72791, 16.21496"
