price,review,title
,"4,4 sur 5 étoiles","TECLAST F15 Pro Ordinateur Portable 15,6 Pouces, 12Go RAM 256Go SSD Windows 10 1920x1080FHD, Intel 10nm Core i3-1005G1 4-Thread CPU Turbo 3.4GHz, 1920×1080FHD, TF+HDMI+USB3.0+Type-C+RJ45 53.5Wh Métal"
"379,00 €",,"Acer Chromebook Spin 513 CP513-1H-S64V Ordinateur Portable Tactile Convertible 13,3'' Full HD IPS, PC Portable (Qualcomm Snapdragon SC7180, RAM 8 Go, 64 Go eMMC, Qualcomm Adreno 618, Chrome OS) - Gris"
,"3,8 sur 5 étoiles","LincPlus P2 Ordinateur Portable,14'' Windows 10 S 4 Go RAM 64 Go eMMC Netbook, 1080P Full HD IPS Intel Celeron N3350 PC, Clavier Français AZERTY"
"599,00 €","3,9 sur 5 étoiles","Lenovo IdeaPad 3i Ordinateur Portable 17.3'' HD+ Gris (Intel Core i3, RAM 4Go, HDD 1To, Intel UHD Graphics, Windows 10) - Clavier AZERTY (français)"
"699,00 €","4,2 sur 5 étoiles",Dell Inspiron 14 5410 2-en-1 Intel Core i5-1135G7 Ordinateur Portable 14.0'' FHD Tactile Platinum Silver 8 Go de RAM 256 Go Intel Iris Xe - UMA Graphics W10 Home Clavier AZERTY Français rétroéclairé
"219,99 €","4,3 sur 5 étoiles","Ordinateur Portable 10.1 Pouces Windows 10 Netbook Quad Core Laptop avec WiFi, HDMI, Netflix,Youtube et Clavier Français AZERTY (Noir)"
"14,99 €","4,4 sur 5 étoiles","AOVUYCK Support Ordinateur Portable, Support PC Portable à 8 Niveaux Réglables, Laptop Stand en Plastique &amp; Silicone Antidérapant &amp; Alliage d'Aluminium, Compatible avec MacBook Air Pro, HP, 10-15,6"""
,"4,1 sur 5 étoiles","CHUWI PC Ordinateur Portable 14 Pouces 2K QHD Laptop Windows 10 GemiBook Pro (256Go SSD, 8Go RAM, Intel Celeron J4125 2.7Ghz+Intel UHD Graphics ) 2.4/5G WiFi,2160*1440 IPS,Clavier Rétro-éclairé"
"849,00 €","4,3 sur 5 étoiles","HP 17-cp0000sf PC Portable 17.3"" FHD IPS Argent (AMD Ryzen 7, RAM 16 Go, SSD 1 To, AZERTY, Windows 10)"
"509,00 €","4,2 sur 5 étoiles","CHUWI Ordinateur Portable CoreBook X 14 Pouces avec Intel Core i5-8259U (jusqu'à 3,8 GHz) 8 Go de RAM 512 Go SSD Résolution 2160 x 1440 Windows 10 Notebook PC Wi-FI BT4.2 Type-C PD2.0 46,2Wh"
"167,99 €","2,9 sur 5 étoiles","Ba30DEllylelly Ordinateur à écran IPS d'ordinateur Portable de 13,3 Pouces 2 + 32 Go 4 Core Windows 10 avec 4 Films de Clavier nationaux WiFi"
"1 104,98 €","4,4 sur 5 étoiles","Dell Inspiron 13 2-en-1 7306 Intel Core i7-1165G7 EVO Ordinateur Portable 13"" Full HD Tactile Platinum Silver 16Go de RAM 512 Go SSD Intel Iris XE - UMA Windows 10 Home Clavier AZERTY Français"
,"4,3 sur 5 étoiles","Jumper Ordinateur Portable 14 Pouces 8 Go DDR4 256 Go SSD, Intel Celeron N4020, Intel UHD 600, Windows 10 Home, BT4.0, mémoire Extensible 256 Go TF avec Disposition de la Membrane du Clavier AZERTY"
"675,00 €","4,4 sur 5 étoiles","Microsoft Surface Laptop Go (Windows 10, écran tactile 12,45"", Intel Core i5, 8 Go RAM, 128 Go SSD, Platine, clavier AZERTY français) L'ordinateur portable Surface le plus léger"
"379,99 €","3,8 sur 5 étoiles","Ordinateur Portable 14.1 Pouces, TECLAST F7 Plus 2 Portable PC, 8Go RAM 256Go SSD, Intel Quad-Core N4120 Ultrabook, FHD 1920x1080, Windows 10, 38000mWh Akku, Bluetooth, Bi-Bande WiFi, 2X USB 3,0"
"344,99 €","5,0 sur 5 étoiles","Ordinateur Portable de 15,6 Pouces (Intel Celeron_j3455 64 Bits, 8 Go de RAM DDR3, 128 Go de SSD, Webcam HD, 5G WiFi ,Windows 10 OS préinstallé, écran 1920 * 1080 FHD IPS)"
"799,00 €","4,5 sur 5 étoiles","Dell G15 Ryzen Edition 5515 AMD Ryzen 5 5600H Portable Gamer 15,6"" Full HD 120Hz Grey 8Go de RAM SSD 256 Go NVIDIA GeForce RTX 3050 4Go GDDR6 Windows 10 Home Clavier AZERTY Français rétroéclairé"
,"4,1 sur 5 étoiles","LincPlus P3 Ordinateur Portable Windows 10 S Notebook,14"" 1080P Full HD IPS, Intel Celeron N3350 4Go RAM 64Go Stockage Netbook, Blanc Clavier Français AZERTY"
"629,00 €","4,4 sur 5 étoiles","Acer Aspire 3 A317-53-34A6 Intel Core i3 Ordinateur Portable 17.3'' HD+, PC Portable (RAM 8 Go, SSD 512 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris"
,"4,1 sur 5 étoiles","LincPlus P1 Ordinateur Portable PC Windows 10 S Netbook 13.3'' 1080P Full HD IPS Laptop ,Intel Celeron N4000 4 Go RAM 64 Go Stockage Gris Clavier Français AZERTY"
"179,00 €","3,3 sur 5 étoiles","HSW 10.1"" Windows 10 Ultra Thin Ordinateur Portable PC - 2 Go de RAM 32 Go de Stockage, Intel Quad Core 1.44 Ghz USB 3.0, WiFi, HDMI, BT, Prend en Charge 128 Go TF Card Ordinateur Portable"
"875,59 €","4,4 sur 5 étoiles","Acer Nitro 5 AN515-55-56RR Intel Core i5 Ordinateur Portable Gaming 15,6'' FHD IPS 144 Hz, PC Portable Gamer (NVIDIA GeForce GTX 1650Ti, RAM 8 Go, 512 Go SSD, Windows 10) - Clavier AZERTY, Noir"
"288,00 €","3,9 sur 5 étoiles","NBD 14 Pouces Ordinateur Portable,Windows 10 Netbook,14,1'' 1080P Full HD IPS Laptop ,Intel Celeron N3350 4 Go RAM 64 Go Stockage Argent Clavier Français"
"379,00 €","4,2 sur 5 étoiles","CHUWI GemiBook Ordinateur Portable Ultrabook 13 Pouces Win 10 Intel Celeron J4115 jusqu'à 2,5 GHz 8 Go RAM 256 Go SSD 2160*1440 2K, Type-C 2.4G/5G WiFi 38 Wh"
"199,90 €","4,3 sur 5 étoiles","NiPoGi Mini PC Windows 10 Pro, Intel Celeron J3455 Portable Business Office Desktop Ordinateur, 6GB RAM 128GB ROM Slim Tower PC, Supports 4K Dual HDMI, 1000 Mbps, Dual WiFi, BT4.2, Wake on LAN"
,"4,3 sur 5 étoiles","Kaulrey Clé USB 1To, Métal Clef USB 3.0 Haute Vitesse Imperméable Cle USB Flash Drive avec Porte-clés Pen Drive Extension de Stockage pour Ordinateur Portable PC Voiture,Argent (1000go)"
