price,review,title
,"3,9 sur 5 étoiles","TECLAST F15S Ordinateur Portable 15,6 Pouces Ultra Slim Notebook, 6Go RAM 128Go SSD(1To extensible) Windows10 Quad Core PC, 1920x1080FHD, Intel J3455 Turbo 2,3GHz, USB 3.0, Mini-HDMI, WIFI, Tout Métal"
"1 066,00","4,8 sur 5 étoiles","2020 Apple MacBook Air avec Apple M1 Chip (13 Pouces, 8 Go RAM, 256 Go SSD) - Or"
"499,00","3,9 sur 5 étoiles","Dell Inspiron 15 3511 Intel Core i3-1115G4 Ordinateur Portable 15,6"" Full HD Black 8Go de RAM SSD 256Go Intel UHD Graphics Windows 10 Home Clavier AZERTY Français"
"1 032,19","4,2 sur 5 étoiles","Lenovo Yoga Slim 7 Notebook, écran 14"" Full HD IPS, processeur AMD Ryzen 7 4700U, 1 To SSD, RAM 16 Go, Windows 10, Slate Grey_ Clavier QWERTY -italien"
,"4,6 sur 5 étoiles","HUAWEI MateBook D 15 2020 PC Portable 15.6'' 1080p FHD (Intel Core i3-10110U, RAM 8Go, SSD 256Go, Windows 10 Home, Clavier Français AZERTY), Argent"
"699,99","4,4 sur 5 étoiles","Lenovo IdeaPad 3 17ALC6 Ordinateur Portable 17.3'' HD+ Gris (AMD Ryzen 5, RAM 8Go, SSD 512Go, AMD Radeon Graphics, W10) - Clavier AZERTY"
"269,00","4,4 sur 5 étoiles","Lenovo Chromebook IdeaPad Duet Ordinateur Portable 2-en-1 10.1"" FHD avec clavier détachable (MediaTek P60T, RAM 4 Go, eMCP 128 Go, Chrome OS) Clavier AZERTY Français"
"875,59","4,4 sur 5 étoiles","Acer Nitro 5 AN515-55-56RR Intel Core i5 Ordinateur Portable Gaming 15,6'' FHD IPS 144 Hz, PC Portable Gamer (NVIDIA GeForce GTX 1650Ti, RAM 8 Go, 512 Go SSD, Windows 10) - Clavier AZERTY, Noir"
"2 899,99","4,6 sur 5 étoiles","2019 Apple MacBook Pro (16 Pouces, 16Go RAM, 1To de Stockage) - Gris Sidéral"
"1 304,99","4,8 sur 5 étoiles","2020 Apple MacBook Pro avec Apple M1 Chip (13 Pouces, 8 Go RAM, 256 Go SSD) - Argent"
"629,00","4,4 sur 5 étoiles","Acer Aspire 3 A317-53-34A6 Intel Core i3 Ordinateur Portable 17.3'' HD+, PC Portable (RAM 8 Go, SSD 512 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris"
,"3,9 sur 5 étoiles","TECLAST F15 Plus Ordinateur Portable, 15,6"" PC Portable, Intel Celeron N4120, RAM 8Go, SSD 256Go, Full HD IPS 1080P, 4K, Quad Core, 64 Bits, Windows 10 Home, 38000mWh, Mini-HDMI, QWERTY"
"1 099,99","4,6 sur 5 étoiles","Microsoft Surface Pro 7 Ordinateur Portable (Windows 10, écran tactile 12.3"", Intel Core i5, 8Go RAM, 256Go SSD, Platine) PC Hybride polyvalent &amp; performant"
"499,99","4,4 sur 5 étoiles","Lenovo IdeaPad 3i 15IIL05 Ordinateur Portable Ultraslim 15.6'' FHD Gris platine (Intel Core i3, RAM 4Go, SSD 256Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (français)"
"24,99",,"Ensemble Petit Clavier Souris sans Fil pour Windows, Ultra-Mince, Mini Clavier Portable AZERTY pour Ordinateur Portable PC-Noir et Argent"
"699,00","4,4 sur 5 étoiles","Acer Aspire 5 A515-55-58R8 Intel Core i5 Ordinateur Portable 15.6'' FHD, PC Portable (RAM 16Go, SSD 512Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Noir"
"319,99","3,4 sur 5 étoiles","TECLAST F7S Ordinateur Portable 14 Pouces PC Portable 8go RAM 128Go Stockage Full HD Écran, Intel Celeron Dual-Core N3350 Windows 10/ 256Go TF Extension, M.2 SSD/ 38000mWh USB 3.0"
,"3,3 sur 5 étoiles","Dell XPS 13 9305 Intel Core i7-1165G7 EVO Ordinateur portable 13,3"" Full HD Platinum silver 8Go de RAM SSD 512Go Intel Iris Xe - UMA Graphics Windows 10 Home Clavier AZERTY Français rétroéclairé"
,"3,3 sur 5 étoiles","Dell XPS 13 9305 Intel Core i7-1165G7 EVO Ordinateur portable 13,3"" Full HD Platinum silver 8Go de RAM SSD 512Go Intel Iris Xe - UMA Graphics Windows 10 Home Clavier AZERTY Français rétroéclairé"
